[2026-04-28 00:35:12] [INFO] ========== 开始同步 student_courses 到 teacher_courses ==========
[2026-04-28 00:35:12] [INFO] student_courses表中共有 384 条记录
[2026-04-28 00:35:12] [INFO] 同步前 teacher_courses表中有 0 条记录
[2026-04-28 00:35:13] [INFO] 新增记录: teacher_id=20240301, grade=高一, class=2班, day=2, period=1
[2026-04-28 00:35:13] [INFO] 新增记录: teacher_id=20240301, grade=高一, class=2班, day=2, period=2
[2026-04-28 00:35:13] [INFO] 新增记录: teacher_id=20240201, grade=高一, class=2班, day=2, period=3
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240101, grade=高一, class=2班, day=2, period=4
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241401, grade=高一, class=2班, day=2, period=5
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241401, grade=高一, class=2班, day=2, period=6
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241601, grade=高一, class=2班, day=2, period=7
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20242401, grade=高一, class=2班, day=2, period=8
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240101, grade=高一, class=2班, day=3, period=1
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240101, grade=高一, class=2班, day=3, period=2
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240201, grade=高一, class=2班, day=3, period=3
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240301, grade=高一, class=2班, day=3, period=4
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241401, grade=高一, class=2班, day=3, period=5
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241501, grade=高一, class=2班, day=3, period=6
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241601, grade=高一, class=2班, day=3, period=7
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20242401, grade=高一, class=2班, day=3, period=8
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240201, grade=高一, class=2班, day=4, period=1
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240201, grade=高一, class=2班, day=4, period=2
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240101, grade=高一, class=2班, day=4, period=3
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240301, grade=高一, class=2班, day=4, period=4
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=TEA20242201, grade=高一, class=2班, day=4, period=5
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241401, grade=高一, class=2班, day=4, period=6
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241601, grade=高一, class=2班, day=4, period=7
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20242401, grade=高一, class=2班, day=4, period=8
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240301, grade=高一, class=2班, day=5, period=1
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240301, grade=高一, class=2班, day=5, period=2
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240101, grade=高一, class=2班, day=5, period=3
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240201, grade=高一, class=2班, day=5, period=4
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241501, grade=高一, class=2班, day=5, period=5
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241501, grade=高一, class=2班, day=5, period=6
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241401, grade=高一, class=2班, day=5, period=7
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20242501, grade=高一, class=2班, day=5, period=8
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240101, grade=高一, class=2班, day=6, period=1
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240101, grade=高一, class=2班, day=6, period=2
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240201, grade=高一, class=2班, day=6, period=3
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240301, grade=高一, class=2班, day=6, period=4
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241501, grade=高一, class=2班, day=6, period=5
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241601, grade=高一, class=2班, day=6, period=6
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20241601, grade=高一, class=2班, day=6, period=7
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20242501, grade=高一, class=2班, day=6, period=8
[2026-04-28 00:35:14] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=1班, day=1, period=1
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=1班, day=1, period=2
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=1班, day=1, period=3
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=1班, day=1, period=4
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=1班, day=1, period=5
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=1班, day=1, period=6
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=1班, day=1, period=7
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=1班, day=1, period=8
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=1班, day=2, period=1
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=1班, day=2, period=2
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=1班, day=2, period=3
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=1班, day=2, period=4
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=1班, day=2, period=5
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=TEA20242102, grade=高二, class=1班, day=2, period=6
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=1班, day=2, period=7
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=1班, day=2, period=8
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=1班, day=3, period=1
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=1班, day=3, period=2
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=1班, day=3, period=3
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=1班, day=3, period=4
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=1班, day=3, period=5
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=1班, day=3, period=6
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=1班, day=3, period=7
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=1班, day=3, period=8
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=1班, day=4, period=1
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=1班, day=4, period=2
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=1班, day=4, period=3
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=1班, day=4, period=4
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=1班, day=4, period=5
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=1班, day=4, period=6
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=1班, day=4, period=7
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=1班, day=4, period=8
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=1班, day=5, period=1
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=1班, day=5, period=2
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=1班, day=5, period=3
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=1班, day=5, period=4
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=1班, day=5, period=5
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=TEA20242202, grade=高二, class=1班, day=5, period=6
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=1班, day=5, period=7
[2026-04-28 00:35:15] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=1班, day=5, period=8
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=1班, day=6, period=1
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=1班, day=6, period=2
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=1班, day=6, period=3
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=1班, day=6, period=4
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=1班, day=6, period=5
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=1班, day=6, period=6
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=1班, day=6, period=7
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=1班, day=6, period=8
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=2班, day=1, period=1
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=2班, day=1, period=2
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=2班, day=1, period=3
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=2班, day=1, period=4
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=TEA20242102, grade=高二, class=2班, day=1, period=5
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=2班, day=1, period=6
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=2班, day=1, period=7
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=2班, day=1, period=8
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=2班, day=2, period=1
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=2班, day=2, period=2
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=2班, day=2, period=3
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=2班, day=2, period=4
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=2班, day=2, period=5
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=2班, day=2, period=6
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=2班, day=2, period=7
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=2班, day=2, period=8
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=2班, day=3, period=1
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=2班, day=3, period=2
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=2班, day=3, period=3
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=2班, day=3, period=4
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=2班, day=3, period=5
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=2班, day=3, period=6
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=2班, day=3, period=7
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=2班, day=3, period=8
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=2班, day=4, period=1
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=2班, day=4, period=2
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=2班, day=4, period=3
[2026-04-28 00:35:16] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=2班, day=4, period=4
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=TEA20242202, grade=高二, class=2班, day=4, period=5
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=2班, day=4, period=6
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=2班, day=4, period=7
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=2班, day=4, period=8
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=2班, day=5, period=1
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=2班, day=5, period=2
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=2班, day=5, period=3
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=2班, day=5, period=4
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=2班, day=5, period=5
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=2班, day=5, period=6
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=2班, day=5, period=7
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=2班, day=5, period=8
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=2班, day=6, period=1
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240104, grade=高二, class=2班, day=6, period=2
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240204, grade=高二, class=2班, day=6, period=3
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240304, grade=高二, class=2班, day=6, period=4
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=2班, day=6, period=5
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241604, grade=高二, class=2班, day=6, period=6
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241404, grade=高二, class=2班, day=6, period=7
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241504, grade=高二, class=2班, day=6, period=8
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=3班, day=1, period=1
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=3班, day=1, period=2
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=3班, day=1, period=3
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=3班, day=1, period=4
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=3班, day=1, period=5
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=3班, day=1, period=6
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20242604, grade=高二, class=3班, day=1, period=7
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=3班, day=1, period=8
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=3班, day=2, period=1
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=3班, day=2, period=2
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=3班, day=2, period=3
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=3班, day=2, period=4
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=3班, day=2, period=5
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=TEA20242102, grade=高二, class=3班, day=2, period=6
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=3班, day=2, period=7
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20242604, grade=高二, class=3班, day=2, period=8
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=3班, day=3, period=1
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=3班, day=3, period=2
[2026-04-28 00:35:17] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=3班, day=3, period=3
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=3班, day=3, period=4
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=3班, day=3, period=5
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20242604, grade=高二, class=3班, day=3, period=6
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=3班, day=3, period=7
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=3班, day=3, period=8
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=3班, day=4, period=1
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=3班, day=4, period=2
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=3班, day=4, period=3
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=3班, day=4, period=4
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=3班, day=4, period=5
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=3班, day=4, period=6
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20242604, grade=高二, class=3班, day=4, period=7
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=3班, day=4, period=8
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=3班, day=5, period=1
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=3班, day=5, period=2
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=3班, day=5, period=3
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=3班, day=5, period=4
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=3班, day=5, period=5
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=TEA20242202, grade=高二, class=3班, day=5, period=6
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=3班, day=5, period=7
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20242604, grade=高二, class=3班, day=5, period=8
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=3班, day=6, period=1
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=3班, day=6, period=2
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=3班, day=6, period=3
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=3班, day=6, period=4
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=3班, day=6, period=5
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20242604, grade=高二, class=3班, day=6, period=6
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=3班, day=6, period=7
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=3班, day=6, period=8
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=4班, day=1, period=1
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=4班, day=1, period=2
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=4班, day=1, period=3
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=4班, day=1, period=4
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=TEA20242102, grade=高二, class=4班, day=1, period=5
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=4班, day=1, period=6
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20241505, grade=高二, class=4班, day=1, period=7
[2026-04-28 00:35:18] [INFO] 新增记录: teacher_id=20242604, grade=高二, class=4班, day=1, period=8
[2026-04-28 00:35:19] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=4班, day=2, period=1
[2026-04-28 00:35:19] [INFO] 新增记录: teacher_id=20240305, grade=高二, class=4班, day=2, period=2
[2026-04-28 00:35:19] [INFO] 新增记录: teacher_id=20240205, grade=高二, class=4班, day=2, period=3
[2026-04-28 00:35:19] [INFO] 新增记录: teacher_id=20240105, grade=高二, class=4班, day=2, period=4
[2026-04-28 00:35:19] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=4班, day=2, period=5
[2026-04-28 00:35:19] [INFO] 新增记录: teacher_id=20241405, grade=高二, class=4班, day=2, period=6
